Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
Horizons for Green Development,horizons,0,0,0,100,0,100,0,0,0,22,0,0,0,100,0,100,0,0,0,22
Hospice Africa Ltd,hauk,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
HTSPE,htspe,0,0,0,0,0,0,100,100,0,22,0,0,0,100,0,0,100,100,0,33
Human Relief Foundation,hrf,100,100,100,0,0,0,100,0,0,44,100,100,100,0,0,0,100,0,0,44
Humanitarian Quality Assurance Initiative,hqai,0,0,0,100,0,100,0,0,0,22,0,0,0,100,0,100,0,0,0,22
I Choose Life Africa,ke-ngc-3372,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ICA:UK,icauk,100,100,0,100,0,0,100,0,0,44,100,100,0,100,0,0,100,0,0,44
ICCO Cooperation,icco-cooperation,0,97,97,54,0,77,100,11,69,56,0,97,97,54,0,77,100,11,69,56
ICF Consulting Services Ltd,icf,33,67,67,100,0,67,33,67,0,48,33,67,67,100,0,67,33,67,0,48
ICS,ics,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
iDE,ide,0,0,0,100,0,100,0,0,0,22,0,0,0,100,0,100,0,0,0,22
IDEO.org,ideo_org,0,0,0,100,0,100,0,-,0,22,0,0,0,100,0,100,0,-,0,22
"IDH, the Sustainable Trade Initiative",idh,97,0,0,100,0,31,100,30,66,47,97,0,0,100,0,31,100,30,66,47
IDinsight,idinsight,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
IFOAM - Organics International,ifoam,0,0,0,100,0,21,0,100,0,25,0,0,0,100,0,21,0,100,0,25
IHE Delft Institute for Water Education,ihedelft,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
Iles de Paix,idp,100,75,75,100,0,88,100,50,75,74,100,75,75,100,0,88,100,50,75,74
IMA World Health,us-imawh,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
IMC WORLDWIDE,imcw_admin,87,1,1,96,0,84,99,65,0,48,87,1,1,100,0,84,99,65,0,49
IMD Moçambique,imdmozambique,0,0,0,0,0,50,0,0,0,6,0,0,0,0,0,50,50,0,0,11
Impunity Watch,iw_admin,0,0,0,100,0,0,100,-,100,33,0,0,0,100,0,0,100,-,100,33
Index Initiative Foundation,iif,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Indigo Trust,indtrust,100,0,0,78,0,0,100,93,0,41,100,0,0,100,0,0,100,93,0,44
Instiglio,instiglio,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,100,82,82,100,0,6,100,50,88,68,100,82,82,100,0,6,100,50,88,68
"Institut National de l'Eau, Benin",ine_benin,100,100,100,100,0,100,100,-,100,78,100,100,100,100,0,100,100,-,100,78
Institute for International Workers Education,iiwe,80,60,60,100,0,20,100,-,60,53,80,60,60,100,0,20,100,-,60,53
Institute for Security Studies,issafrica,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
Institute for War & Peace Reporting,iwpr,0,0,0,100,0,0,0,17,0,13,0,0,0,100,0,0,0,17,0,13
Institute of Development Studies,ids,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Institute of Tropical Medicine,itm,88,82,82,100,0,6,100,29,82,63,88,82,82,100,0,6,100,29,82,63
Integrity Action,integrity_action,0,0,0,30,0,0,4,15,0,5,0,0,0,96,0,0,4,15,0,13
Integrity Research and Consultancy Ltd,integrity,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Inter-American Development Bank,iadb,100,100,100,100,100,100,100,78,73,95,100,100,100,100,100,100,100,78,73,95
Interact Worldwide,iww_publish,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
InterAction,interaction,100,0,0,100,0,17,0,100,0,35,100,0,0,100,0,17,0,100,0,35
InterAction's NGO Aid Map,ia_nam,68,48,48,0,0,50,0,46,38,33,68,48,48,0,0,50,0,46,38,33
interburns,interburns,100,0,0,100,0,100,0,-,0,33,100,0,0,100,0,100,0,-,0,33
InterClimate Network,icn,0,0,0,100,0,100,100,0,0,33,0,0,0,100,0,100,100,0,0,33
International Aids Vaccine Initiative (IAVI),iavi,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
International Alert,international-alert,49,0,0,53,0,0,53,47,2,23,49,0,0,53,0,0,53,47,2,23
International Bureau of Fiscal Documentation (IBFD),ibfd,100,93,40,100,0,0,100,50,60,60,100,93,40,100,0,0,100,50,60,60
International Center for Not-for-Profit Law,icnl_org,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
International Center for Transitional Justice,ictj,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
International Centre of Insect Physiology and Ecology (icipe),icipe,100,100,100,100,0,0,0,100,0,56,100,100,100,100,0,0,0,100,0,56
International Child Development Initiatives,icdi,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,100,0,0,86,0,0,100,-,0,32,100,0,0,100,0,0,100,-,0,33
International Committee of the Red Cross (ICRC),icrc,100,95,95,0,100,96,100,0,45,70,100,95,95,0,100,96,100,0,45,70
International Council of Voluntary Agencies,icva,0,0,0,0,0,0,100,0,0,11,0,0,0,0,0,0,100,0,0,11
International Crisis Group,crisisgroup,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
International Development Law Organization (IDLO),idlo,0,0,0,100,0,87,97,25,0,34,0,0,0,100,0,87,97,25,0,34
International Federation of Accountants,ifac,0,0,0,100,0,0,0,80,0,20,0,0,0,100,0,0,0,80,0,20
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,100,0,0,100,0,96,100,0,0,44,100,0,0,100,0,96,100,0,0,44
International Fertilizer Development Center,ifdc-us,0,0,0,75,0,75,75,50,50,36,0,0,0,75,0,75,75,50,50,36
International Finance Corporation,ifcwbg,100,100,100,0,0,100,100,0,13,57,100,100,100,0,0,100,100,0,13,57
International Fund for Agricultural Development (IFAD),ifad,98,100,100,100,0,100,100,30,0,70,98,100,100,100,0,100,100,30,0,70
International IDEA,idea,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
International Indigenous Women Forum,fimi_iiwf_2019,0,0,0,100,0,0,100,-,33,26,0,0,0,100,0,0,100,-,33,26
International Initiative for Impact Evaluation,3ie,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
International Labour Organization (ILO),ilo,100,59,0,100,0,85,100,4,0,50,100,59,0,100,0,85,100,4,0,50
International Media Support,ims,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
International Medical Corps UK,imc_uk,33,0,0,67,0,0,100,33,67,33,33,0,0,67,0,0,100,33,67,33
International Monetary Fund,imf,0,0,0,100,0,0,0,33,0,15,0,0,0,100,0,0,0,33,0,15
International Network for Advancing Science and Policy,inasp,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
International Network for Bamboo and Rattan (INBAR),inbar,0,0,0,47,0,0,0,33,0,9,0,0,0,47,0,0,0,33,0,9
International Network of People who Use Drugs (INPUD),inpud_admin,20,0,0,100,0,0,100,67,0,32,20,0,0,100,0,0,100,67,0,32
International NGO Safety Orgnisation,inso,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
International Organization for Migration (IOM),iom,98,0,0,100,100,0,100,23,0,47,98,0,0,100,100,0,100,23,0,47
International Planned Parenthood Federation,ippf,83,0,0,100,0,8,100,76,17,43,83,0,0,100,0,8,100,76,17,43
International Potato Center,cip,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
International Procurement Agency,ipa,75,0,0,75,0,25,100,63,0,38,75,0,0,88,0,25,100,63,0,39
International Rescue Committee UK,irc_uk,81,2,2,100,0,84,86,44,0,44,81,2,2,100,0,84,86,44,0,44
International Service,unais,17,0,0,100,0,0,0,67,0,20,17,0,0,100,0,0,0,67,0,20
International Trade Centre (ITC),itc,0,0,0,100,0,0,0,25,9,15,0,0,0,100,0,0,0,25,9,15
International Treatment Preparedness Coalition (ITPC),itpc,0,0,0,100,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
International Union for Conservation of Nature and Natural Resources,iucn,100,86,86,86,0,86,86,100,100,81,100,86,86,86,0,86,86,100,100,81
International Women's Development Agency,iwda,100,0,0,100,0,29,86,-,100,46,100,0,0,100,0,29,86,-,100,46
International Youth Alliance for Family Planning,iyafp,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Internews Europe,ieu,100,0,0,100,0,25,100,33,25,43,100,0,0,100,0,25,100,33,25,43
Interpeace,interpeace,100,0,0,100,0,0,100,33,100,48,100,0,0,100,0,0,100,33,100,48
INTOSAI Development Initiative,idi,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
INTRAC,intrac,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
IntraHealth International,intrahealth,100,100,100,0,0,100,100,-,100,67,100,100,100,0,0,100,100,-,100,67
IOD PARC,iodparc,100,0,0,100,0,75,0,25,0,33,100,0,0,100,0,75,0,25,0,33
iPartner India,ip-india,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Ipas,ipas,0,0,0,100,0,20,20,0,0,16,0,0,0,100,0,20,20,0,0,16
IPE Global Limited,ipeglobal,100,100,100,100,0,100,100,25,0,69,100,100,100,100,0,100,100,25,0,69
Iraq Foundation,iraq_foundation,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
IRC,irc,100,100,100,100,0,86,100,50,0,71,100,100,100,100,0,100,100,50,0,72
Ireland - Department of Foreign Affairs and Trade,irishaid,0,0,0,100,0,0,100,58,0,29,0,0,0,100,0,0,100,58,0,29
IREX (International Research and Exchange Board),irex,100,0,0,100,0,57,0,0,86,38,100,0,0,100,0,57,0,0,86,38
"Iringa Development of Youth, Disabled and Children Care",idydc,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Irise International,irise_int,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Irrawaddy Policy Exchange,ipe,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Islamic Relief Worldwide,irw,0,0,0,100,0,80,100,60,0,38,0,0,0,100,0,80,100,60,0,38
Itad,itad,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
ITECO - Centre de formation pour le développement,iteco,100,50,50,100,0,25,100,100,50,64,100,50,50,100,0,25,100,100,50,64
IUCN Nederlands Comité,iucn_nl,100,0,0,100,0,3,100,46,6,39,100,0,0,100,0,3,100,46,6,39
Japan International Cooperation Agency (JICA),jica,0,29,0,98,0,2,98,8,0,26,0,29,0,98,0,2,98,8,0,26
Jeevika Trust,jeevika_trust,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Johns Hopkins University,gi-jhu,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Joshua Orphan and Community Care,jocc_uk,0,100,100,100,0,100,0,100,0,56,0,100,100,100,0,100,0,100,0,56
Just Associates,jass,100,0,0,100,0,0,100,-,92,44,100,0,0,100,0,0,100,-,92,44
Kadaster International,kad,100,25,0,50,0,0,50,0,25,28,100,25,0,50,0,0,50,0,25,28
Karuna Mission Social Solidarity - KMSS,kmss,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Karuna Trust,karuna,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Kenya National Commission on Human Rights,knchr,0,0,0,100,0,50,0,100,100,39,0,0,0,100,0,50,0,100,100,39
Kenya Private Sector Alliance,kepsa,0,0,0,0,0,100,100,100,100,44,0,0,0,0,0,100,100,100,100,44
Kepa ry,kepa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Kesho Kenya,kesho_kenya,100,100,100,100,0,0,100,100,0,67,100,100,100,100,0,0,100,100,0,67
kidasha,kidasha,0,100,100,100,0,100,0,0,0,44,0,100,100,100,0,100,0,0,0,44
King Salman Humanitarian Aid and Relief Centre,ksrelief291,0,0,0,100,0,0,98,8,0,23,0,0,0,100,0,0,98,8,0,23
King's College London,kingscollegelondon,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Kisumu Medical and Education Trust,kmet,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
KIYO,kiyo,100,18,18,100,0,9,100,78,82,56,100,18,18,100,0,9,100,78,82,56
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,100,83,67,100,0,11,100,81,83,69,100,83,67,100,0,11,100,81,83,69
Koninklijk Nederlands Meteorologisch Instituut,knmi,0,0,0,100,0,0,0,0,100,22,0,0,0,100,0,0,0,0,100,22
KPMG East Africa,kpmgea,100,33,33,100,0,100,100,100,0,63,100,33,33,100,0,100,100,100,0,63
KPMG LLP,kpmgllp,100,0,0,0,0,100,100,-,0,33,100,0,0,0,0,100,100,-,0,33
KwaAfrica,kwaafrica,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Kwame Nkrumah University of Science and Technology,knust,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
LAMB Health Care Foundation,lhcf,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Landell Mills,landell-mills,0,0,0,100,0,60,80,67,0,34,0,0,0,100,0,60,80,67,0,34
Larive International,larive,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Le Monde selon les femmes asbl,mondefemmes,78,78,78,100,0,11,100,100,78,69,78,78,78,100,0,11,100,100,78,69
LEAD International,lead_international,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Leaders of Tomorrow,sqf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Learning for Life,learningforlife,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Leonard Cheshire Disability,lcd_admin,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Lepra,lepra,100,0,0,100,0,70,0,89,0,40,100,0,0,100,0,70,0,89,0,40
Light For The World Belgium,lftw-be,100,57,57,100,0,14,100,100,57,65,100,57,57,100,0,14,100,100,57,65
LIGHT FOR THE WORLD The Netherlands,lftwnl,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Link Community Development International,lcdi_admin,100,0,0,100,0,0,0,50,0,28,100,0,0,100,0,0,0,50,0,28
Link Community Development Scotland,lcds,0,0,0,0,0,0,100,100,0,22,0,0,0,100,0,0,100,100,0,33
"Lithuania, Ministry of Foreign Affairs",lithuania_mfa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Lively Minds,livelyminds,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Liverpool School of Tropical Medicine,lstm,0,0,0,100,0,33,33,-,0,18,0,0,0,100,0,33,33,-,0,18
Living Earth Foundation,livingearth12,0,0,0,0,0,0,100,100,0,22,0,0,0,0,0,0,100,100,0,22
living peace institute,lpi,100,0,0,100,0,0,0,0,100,33,100,0,0,100,0,0,0,0,100,33
LIWA programme trust,liwa-admin,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Local Development and Small Projects Support,ldsps,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Louvain Coopération,lc,100,70,70,100,0,10,100,89,90,70,100,70,70,100,0,10,100,89,90,70
LTS International Limited,lts,14,14,0,95,0,9,14,45,0,21,14,14,0,95,0,9,14,45,0,21
MADE in Europe,mie-1134415,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
MAG,mag,93,0,0,100,0,7,0,15,47,29,93,0,0,100,0,7,0,15,47,29
Magariro,magariro,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Mainline,mainline,9,0,0,100,0,0,100,44,36,32,9,0,0,100,0,0,100,44,36,32
Makerere University School of Public Health,maksph,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Malaria Consortium,malariaconsortium,100,0,0,90,0,0,0,64,0,28,100,0,0,90,0,0,0,64,0,28
Mama Cash,mamac,100,0,0,100,0,3,100,0,87,43,100,0,0,100,0,3,100,0,87,43
MAMTA - Health Institute for Mother and Child,mamta_himc,100,100,0,0,100,0,0,100,0,44,100,100,0,0,100,0,0,100,0,44
MannionDaniels,manniondaniels,99,0,0,100,0,5,4,0,1,23,99,0,0,100,0,5,4,0,1,23
MapAction,mapaction,0,0,0,67,0,0,100,100,0,30,0,0,0,100,0,0,100,100,0,33
Marie Stopes International,msi,100,0,0,100,0,0,100,58,29,43,100,0,0,100,0,0,100,58,29,43
marysmeals,marysmeals,100,0,0,100,0,100,0,-,0,33,100,0,0,100,0,100,0,-,0,33
Mastercard Foundation,mastercard-foundation,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Max Foundation,max-foundation,100,100,100,100,100,100,100,0,100,89,100,100,100,100,100,100,100,0,100,89
Maxwell Stamp PLC,mstamp,100,0,0,100,0,50,0,17,0,30,100,0,0,100,0,50,0,17,0,30
McKinsey & Company,mck,67,0,0,100,0,0,0,0,0,19,67,0,0,100,0,0,0,0,0,19
MDF Global,mdf,100,0,0,100,0,75,100,-,100,53,100,0,0,100,0,75,100,-,100,53
Medair,medair,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,medecins,78,78,78,100,0,0,100,86,78,66,78,78,78,100,0,0,100,86,78,66
Medecins du Monde France,mdm-fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medical Research Centre (MRC), Sierra Leone",mrc-sierra-leone,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Memisa,memisa,100,78,78,100,0,11,100,100,78,72,100,78,78,100,0,11,100,100,78,72
Meningitis Research Foundation,mrf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Mensen met een Missie,mm1,50,0,0,100,0,0,100,0,100,39,50,0,0,100,0,0,100,0,100,39
Mercy Corps Europe,mce,96,22,4,78,0,70,100,33,35,49,96,22,4,78,0,70,100,33,35,49
Mercy Corps Global,mcg,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Mercy Corps Netherlands,mcn,100,0,0,100,0,100,100,0,50,50,100,0,0,100,0,100,100,0,50,50
MICAIA,mic-uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micro Insurance Academy,mia_india,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
MicroLoan Foundation,mlf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Miel Maya Honing asbl,mmha,100,75,75,100,0,25,100,86,50,68,100,75,75,100,0,25,100,86,50,68
Mifumi UK,mifumi_uk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Milieudefensie,foenl,0,0,0,100,0,73,100,88,100,51,0,0,0,100,0,73,100,88,100,51
Millennium Challenge Corporation,millenniumchallenge,5,13,13,58,58,4,5,30,1,21,5,13,13,58,58,4,5,30,1,21
Ministry of Foreign Affairs - United Arab Emirates (UAE),mofaic_uae,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Ministry of Foreign Affairs of  Japan,mofa-jpn,0,0,0,100,0,0,0,39,0,15,0,0,0,100,0,0,0,39,0,15
Ministry of Foreign and European Affairs of the Slovak Republic,slovakaid,17,36,36,100,0,100,100,23,20,48,17,36,36,100,0,100,100,23,20,48
Ministère de l'Economie et des Finances du Bénin,mefbenin,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Minority Rights Group,mrg,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
Mission Øst,missioneast,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,0,100,-,0,11
Mondiaal FNV,mondiaalfnv,0,0,0,100,0,57,0,9,100,30,0,0,0,100,0,57,0,9,100,30
mothers2mothers,m2m_sa,100,0,0,0,0,100,100,-,0,33,100,0,0,0,0,100,100,-,0,33
Motivation,motivation,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Mott MacDonald Limited,mml,33,33,33,33,0,0,0,0,33,18,33,33,33,33,0,0,0,0,33,18
Mukisa Foundation,mukisa_foundation,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Mulanje Mission Hospital,mmh,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Multilateral Investment Fund,fomin,100,0,0,99,0,100,100,84,0,54,100,0,0,100,0,100,100,84,0,54
Musalaha Ministry of Reconciliation,mmr_admin2,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Muslim Aid,muslimaid,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
MVO Nederland,mvo_nederland,17,0,0,100,0,17,100,-,67,33,17,0,0,100,0,17,100,-,67,33
Mwatana for Human Rights,mwatana,100,100,100,100,100,100,100,0,100,89,100,100,100,100,100,100,100,0,100,89
Mzumbe University,m_u,0,25,25,100,0,0,0,100,0,28,0,25,25,100,0,0,0,100,0,28
Médecins Sans Vacances,msv,100,67,67,100,0,17,100,100,67,69,100,67,67,100,0,17,100,100,67,69
"Namati, Inc",namati_inc,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
Nathan Associates London Ltd.,nathan,0,0,0,18,0,82,0,70,0,19,0,0,0,18,0,82,0,70,0,19
National Coalition of Human Rights Defenders - Kenya,nchrdk,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
Natural Resource Governance Institute (NRGI),nrgi,100,0,0,100,100,100,100,-,0,56,100,0,0,100,100,100,100,-,0,56
"Natural Resources Institute, University of Greenwich.",nri,100,0,0,100,0,33,0,100,0,37,100,0,0,100,0,33,0,100,0,37
Near East Foundation (NEF USA),nef_usa,100,100,100,100,0,100,100,-,100,78,100,100,100,100,0,100,100,-,100,78
Near East Foundation Mali (NEF Mali),nef_mali,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Near East Foundation UK (NEF UK),nef-uk,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Neem Foundation,neem,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Nepal Disabled Human Rights Center,dhrc_nepal,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Nepal Netra Jyoti Sangh,nnjs_nepal,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Netherlands - Ministry of Foreign Affairs,minbuza_nl,100,25,25,100,0,100,100,1,0,50,100,25,25,100,0,100,100,1,0,50
Netherlands Commission for Environmental Assessment,ncea,97,0,0,100,0,30,100,-,15,38,97,0,0,100,0,30,100,-,15,38
Netherlands Enterprise Agency,rvo,0,90,90,80,0,67,2,0,31,40,0,90,90,80,0,67,2,0,31,40
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,100,0,0,94,0,9,94,14,67,42,100,0,0,94,0,9,94,14,67,42
Netherlands Leprosy Relief,nlr,100,100,100,100,0,100,100,0,100,78,100,100,100,100,0,100,100,0,100,78
Netherlands Organisation for Scientific Research (NWO),nwo,100,0,0,100,0,0,0,-,67,30,100,0,0,100,0,0,0,-,67,30
Netherlands Red Cross,nlrc,100,14,13,89,0,5,100,34,51,45,100,14,14,89,0,5,100,34,51,45
Netherlands Space Office,nso,100,100,100,93,0,100,100,17,100,79,100,100,100,93,0,100,100,17,100,79
Network for Africa,network4africa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Network For Enterprise Enhancement and Development Support,needs,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,100,15,15,100,36,98,100,72,0,60,100,15,15,100,36,98,100,72,0,60
NGO Federation of Nepal,nfn,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),ngo-federatie,100,100,100,100,0,17,100,100,67,76,100,100,100,100,0,17,100,100,67,76
Niger Delta Stakeholders Initiative for Community Development and Empowerment,ndsicde,100,0,0,100,0,0,0,100,100,44,100,0,0,100,0,0,0,100,100,44
NKHOMA MISSION HOSPITAL,nmhiati,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Nonviolent Peaceforce South Sudan,npss,0,100,100,100,0,0,0,100,100,56,0,100,100,100,0,0,0,100,100,56
Norad - Norwegian Agency for Development Cooperation,norad,0,0,0,100,0,100,100,30,0,37,0,0,0,100,0,100,100,30,0,37
Northern Network for Education Development,nned,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Northern Rangelands Trust,nrt-kenya,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Norwegian People's Aid,npa,100,20,20,100,0,0,100,0,20,40,100,20,20,100,0,0,100,0,20,40
Norwegian Refugee Council,nrc,15,0,0,100,0,7,44,16,7,21,15,0,0,100,0,7,44,16,7,21
"NpM, Platform for Inclusive Finance",npm,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
Nuffic,nuffic20171017,0,0,0,96,0,0,0,37,0,15,0,0,0,96,0,0,0,37,0,15
Nutrition International,nutritionintl,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
OCHA Country Based Pooled Funds,unocha-cbpf,100,100,100,100,100,100,100,0,0,78,100,100,100,100,100,100,100,0,0,78
ODI Sales Limited,odi_sales_ltd,100,0,0,80,0,20,0,100,0,33,100,0,0,100,0,20,0,100,0,36
OECD,oecd,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
Okapi Consulting,okapiconsulting,0,0,0,0,0,100,0,0,0,11,0,0,0,0,0,100,0,0,0,11
Omidyar Network Fund Inc.,omidyarnetwork,100,0,0,0,0,0,93,0,0,21,100,0,0,0,0,0,93,0,0,21
One Acre Fund,oneacrefund,100,0,0,100,0,13,100,-,100,46,100,0,0,100,0,13,100,-,100,46
One to One Children's Fund,onetoonecf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
One Young World,oyw,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
ONG ALCRER,alcrer-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
